Наименование продукта,Ширина,Высота,Бонус,Бонус (сайт),Цена
"Визитка на I-ой обложке",75,37.5,"Половина страницы в рубрике","Баннер в рубрике (240*400 pix)","Пакет «Все включено»",65000
"Цветная реклама на II-ой обложке (A)",63,55,"Пакет «График»","Баннер в рубрике (240*200 pix)",25000
"Цветная реклама на II-ой обложке (Б)",110,55,"Пакет «Бизнес»","Пакет «Все включено»",35000
"Цветная реклама на III-ей обложке",210,297,"Пакет «Лого»","Пакет «Все включено»",20000
"Цветная реклама на IV-ой обложке (А)",63,55,"Пакет «График»","Баннер в рубрике (240*140 pix)",19000
"Цветная реклама на IV-ой обложке (Б)",130,55,"Пакет «График»","Пакет «Все включено»",27000
"Цветная страница перед разделом (глянцевая)",210,297,"Пакет «Бизнес»","На правах рекламы;Пакет «Все включено»",50000
"Цветная реклама в начале издания (А)",210,297,"Пакет «Бизнес»","На правах рекламы",40000
"Цветная реклама в начале издания (Б)",210,148,"Пакет «График»","Пакет «Все включено»",22000
"Цветная реклама в телефонах первой необходимости",60,47,"Пакет «Эконом»","Пакет «Все включено»",10000
"Визитка в разделе Shopinng-гид (А)",60,47,"Пакет «Базовый»","Логотип организации в рубрике",4500
"Визитка в разделе Shopinng-гид (Б)",124,47,"Пакет «Базовый»","Логотип организации в рубрике",8500
"Визитка в разделе Shopinng-гид (В)",187,47,"Пакет «Эконом»","Логотип организации в рубрике",13000
"Визитка в разделе Shopinng-гид (Г)",187,94,"Пакет «Эконом»","Логотип организации в рубрике",18000
"Визитка под рубрикой (ключевым словом)",90,40,"Пакет «Лого»","Пакет «Все включено»",16000
"Футер горизонтальный левый",179,12,"Пакет «Лого»","Баннер (режим автоматической прокрутки);Пакет «Все включено»",17000
"Футер горизонтальный правый",179,12,"Пакет «Лого»","Баннер (режим автоматической прокрутки);Пакет «Все включено»",20000
"Футер вертикальный левый",254,12,"Пакет «Лого»","Баннер (режим автоматической прокрутки);Пакет «Все включено»",17000
"Футер вертикальный правый",254,12,"Пакет «Лого»","Баннер (режим автоматической прокрутки);Пакет «Все включено»",20000
"Цветная страница в рубрике",210,297,"Пакет «Лого»","Баннер в категории (240*400 pix)",28000
"Половина страницы в рубрике",179,124,"Пакет «Лого»","Баннер в категории (240*400 pix)",23000
"Пакет «Максимум»",179,60.5,"Пакет «Лого»","Баннер в категории (240*200 pix)",19000
"Пакет «Бизнес +»",118,60.5,"Пакет «Эконом»","Баннер в категории (240*200 pix)",17000
"Пакет «Бизнес»",57,82,"Пакет «Эконом»","Баннер в категории (240*140 pix)",15000
"Пакет «График»",57,60.5,"Пакет «Базовый»","Баннер в категории (240*140 pix)",13000
"Пакет «Лого +»",57,,,"Пакет «Все включено»",9000
"Пакет «Лого»",57,,,"Пакет «Все включено»",8000
"Пакет «Эконом +»",57,,,"Пакет «Все включено»",6000
"Пакет «Эконом»",57,,,"Пакет «Все включено»",5000
"Дополнительная информация (10 слов)",,,,,500
"Пакет «Базовый»",57,20,,,2000
"Интернет регистр (Название, логотип, сайт)",,,,,1000
"Выделение цветом рамки или текста",,,,,500
"Полное выделение цветом",,,,,800
"Добавление филиала в рамку с отличным от основного названием",,,,,500
"Информационная строка в рубрике",,,,,200