soc_rub_id,name
144,"СЛУЖБА ОДНОГО ОКНА"
147,"ОБЩЕЖИТИЯ"
148,"ДОМА-ИНТЕРНАТЫ ДЛЯ ПРЕСТАРЕЛЫХ ГРАЖДАН"
152,"КУЛЬТУРНЫЕ ЦЕНТРЫ"
150,"СТАТИСТИКА"
153,"АВТОИНСПЕКЦИИ"
155,"ГОРОДСКОЙ ТРАНСПОРТ"
156,"ДЕТСКИЕ ДОМА, ДОМА РЕБЕНКА, ДЕТСКИЕ ПРИЮТЫ"
157,"НАУКА"
158,"МИГРАЦИОННАЯ СЛУЖБА, ПАСПОРТНЫЙ СТОЛ"
159,"ПОЖАРНАЯ ОХРАНА"
160,"ШКОЛЫ"
161,"ШКОЛЫ ИСКУССТВ, ДОМА ТВОРЧЕСТВА"
162,"ПОЧТА И ТЕЛЕГРАФ"
163,"РАЙОННЫЕ АДМИНИСТРАЦИИ КАЛИНИНГРАДСКОЙ ОБЛАСТИ"
164,"ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО"
5,"КАДАСТРОВАЯ ПАЛАТА"
7,"БЮРО ТЕХНИЧЕСКОЙ ИНВЕНТАРИЗАЦИИ "
8,"ЗАГСы"
9,"МЕТЕОСЛУЖБЫ"
11,"ОХРАНА ОКРУЖАЮЩЕЙ СРЕДЫ"
12,"РЕГИСТРАЦИОННЫЕ СЛУЖБЫ"
13,"ФИНАНСОВО-КАЗНАЧЕЙСКОЕ УПРАВЛЕНИЕ"
15,"АДМИНИСТРАЦИИ РАЙОНОВ ГОРОДСКОГО ОКРУГА ""ГОРОД КАЛИНИНГРАД"""
16,"СОВЕТ ДЕПУТАТОВ"
17,"КАЛИНИНГРАДСКАЯ ОБЛАСТНАЯ ДУМА"
18,"АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ""ГОРОД КАЛИНИНГРАД"""
19,"ПРАВИТЕЛЬСТВО КАЛИНИНГРАДСКОЙ ОБЛАСТИ"
20,"ПРЕДСТАВИТЕЛЬСТВО ПРЕЗИДЕНТА РФ В КАЛИНИНГРАДСКОЙ ОБЛАСТИ"
24,"ГОСПИТАЛИ"
28,"ВОДОСНАБЖЕНИЕ"
29,"ГАЗОСНАБЖЕНИЕ"
30,"ЖКХ АВАРИЙНЫЕ СЛУЖБЫ"
34,"КАНАЛИЗАЦИЯ"
35,"ЛИФТЫ ДИСПЕТЧЕРСКАЯ"
36,"ТЕЛЕФОННЫЕ СЕТИ"
37,"ТЕПЛОСНАБЖЕНИЕ"
38,"ЭНЕРГОСНАБЖЕНИЕ"
40,"ВОЕННЫЕ КОМИССАРИАТЫ И КОМЕНДАТУРЫ"
41,"ДЕЗИНФЕКЦИОННЫЕ ПРЕДПРИЯТИЯ, УСЛУГИ"
42,"ДИСПАНСЕРЫ"
43,"ЖЕНСКИЕ КОНСУЛЬТАЦИИ"
44,"ЛАБОРАТОРИИ, ДИАГНОСТИКА"
46,"МОРГИ"
47,"ОБЯЗАТЕЛЬНОЕ МЕДИЦИНСКОЕ СТРАХОВАНИЕ"
48,"ПОЛИКЛИНИКИ"
49,"РОДИЛЬНЫЕ ДОМА"
50,"ПАНСИОНАТЫ, САНАТОРИИ"
51,"САНИТАРНО-ЭПИДЕМИОЛОГИЧЕСКИЕ СЛУЖБЫ"
52,"СКОРАЯ МЕДИЦИНСКАЯ ПОМОЩЬ"
54,"ЦЕНТР ПЕРЕЛИВАНИЯ КРОВИ"
55,"РЕАБИЛИТАЦИЯ. ЦЕНТРЫ, ФОНДЫ"
56,"ИНСПЕКЦИИ, НАДЗОРНЫЕ И КОНТРОЛЬНЫЕ ОРГАНЫ"
57,"НАЛОГОВЫЕ СЛУЖБЫ"
58,"ТАМОЖНЯ"
60,"МЕДИЦИНСКИЕ СПРАВОЧНЫЕ СЛУЖБЫ"
64,"БИБЛИОТЕКИ"
65,"БОТАНИЧЕСКИЙ САД"
66,"ДОМА КУЛЬТУРЫ"
67,"ЗООПАРК"
69,"КОНЦЕРТНЫЕ ЗАЛЫ, ФИЛАРМОНИЯ"
70,"МУЗЕИ"
71,"ПАРКИ КУЛЬТУРЫ И ОТДЫХА"
72,"ТЕАТРЫ"
73,"ЦИРК"
75,"ДЕТСКИЕ И ПОДРОСТКОВЫЕ КЛУБЫ, ЦЕНТРЫ"
76,"ДЕТСКИЕ ЛАГЕРЯ"
77,"ДЕТСКИЕ САДЫ"
78,"ДОПОЛНИТЕЛЬНОЕ ОБРАЗОВАНИЕ"
79,"ИНТЕРНАТЫ, СПЕЦИАЛИЗИРОВАННЫЕ, СПЕЦИАЛЬНЫЕ ШКОЛЫ"
81,"СРЕДНЕЕ СПЕЦИАЛЬНОЕ, ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАНИЕ"
84,"УЧЕБНО-ПРОИЗВОДСТВЕННЫЕ КОМБИНАТЫ"
86,"ВУЗы"
87,"НЕКОММЕРЧЕСКИЕ, ОБЩЕСТВЕННЫЕ ОРГАНИЗАЦИИ"
88,"ПОЛИТИЧЕСКИЕ ПАРТИИ"
89,"РЕЛИГИОЗНЫЕ ОРГАНИЗАЦИИ, ЦЕРКВИ"
91,"ВНЕВЕДОМСТВЕННАЯ ОХРАНА"
96,"ПРОКУРАТУРА"
97,"РАЙОННЫЕ ОТДЕЛЫ ВНУТРЕННИХ ДЕЛ"
99,"ТЮРЬМЫ И СИЗО, МЕСТА ЗАКЛЮЧЕНИЯ"
100,"УПРАВЛЕНИЕ ВНУТРЕННИХ ДЕЛ"
101,"УЧАСТКОВЫЕ ПУНКТЫ"
102,"ФЕДЕРАЛЬНАЯ СЛУЖБА БЕЗОПАСНОСТИ"
103,"ГРАЖДАНСКАЯ ОБОРОНА И ЧРЕЗВЫЧАЙНЫЕ СИТУАЦИИ"
107,"ЖИЛИЩНЫЕ СУБСИДИИ"
108,"ОБЩЕСТВА ИНВАЛИДОВ"
109,"ПЕНСИОННЫЕ ФОНДЫ"
110,"СОВЕТЫ ВЕТЕРАНОВ"
128,"АРХИВЫ"
135,"ЗАЩИТА ПРАВ ПОТРЕБИТЕЛЕЙ"
111,"СОЦИАЛЬНОЕ СТРАХОВАНИЕ"
113,"СЛУЖБА ЗАНЯТОСТИ НАСЕЛЕНИЯ"
114,"ЦЕНТРЫ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ"
115,"БАССЕЙНЫ ПЛАВАТЕЛЬНЫЕ"
117,"СПОРТИВНЫЕ ЗАЛЫ, СТАДИОНЫ, КОРТЫ"
118,"СПОРТИВНЫЕ ОРГАНИЗАЦИИ, КЛУБЫ, ФЕДЕРАЦИИ"
119,"СПОРТИВНЫЕ ШКОЛЫ"
121,"СЛУЖБА СУДЕБНЫХ ПРИСТАВОВ"
122,"СУДЫ"
123,"ЮСТИЦИЯ"
126,"МОРСКОЙ И РЕЧНОЙ ТРАНСПОРТ"
133,"ФЕДЕРАЛЬНЫЕ АГЕНТСТВА"
134,"МИНИСТЕРСТВА ПРАВИТЕЛЬСТВА КАЛИНИНГРАДСКОЙ ОБЛАСТИ"
140,"КОНСУЛЬСТВА И ПРЕДСТАВИТЕЛЬСТВА"
142,"ИСКУССТВО, ТВОРЧЕСКИЕ КОЛЛЕКТИВЫ"
129,"ПРАВОЗАЩИТА"
138,"ПРОФЕССИОНАЛЬНЫЕ СОЮЗЫ"
139,"ЛИНЕЙНЫЕ ОТДЕЛЫ ПОЛИЦИИ"
136,"САНИТАРНЫЕ ЧАСТИ"
3,"БОЛЬНИЦЫ"
132,"ЖЕЛЕЗНОДОРОЖНЫЙ ТРАНСПОРТ, ВОКЗАЛЫ"
137,"ГОСНАРКОКОНТРОЛЬ"